station,valid,metar
BOS,8/23/2020 23:54,KBOS 232354Z 22016KT 10SM -TSRA SCT050CB BKN120 OVC140 21/18 A3004 RMK AO2 LTG DSNT SE-W SLP171 FRQ LTGICCCCA SE-W TS SE-W MOV E P0004 60129 T02060178 10317 20194 50001
BOS,8/24/2020 0:54,KBOS 240054Z 20011KT 10SM -TSRA SCT045 BKN075CB OVC110 21/18 A3003 RMK AO2 WSHFT 2350 SLP168 FRQ LTGICCCCA SE-SW TS SE-SW MOV E P0003 T02060178
BOS,8/24/2020 1:13,KBOS 240113Z 20007KT 10SM FEW042 SCT075 BKN120 OVC140 21/18 A3002 RMK AO2 LTG DSNT SW RAE01 TSE12 P0001 T02060183
BOS,8/24/2020 1:54,KBOS 240154Z 23013KT 10SM SCT120 OVC150 22/18 A3001 RMK AO2 RAE01 TSE12 SLP161 P0001 T02170178
BOS,8/24/2020 2:54,KBOS 240254Z 31004KT 10SM SCT140 BKN220 23/18 A3001 RMK AO2 SLP160 LTG DSNT NW 60004 T02280178 56011 $
BOS,8/24/2020 3:54,KBOS 240354Z 30003KT 10SM BKN150 OVC220 22/18 A3002 RMK AO2 SLP166 T02170183 $
BOS,8/24/2020 4:54,KBOS 240454Z 19004KT 10SM BKN150 OVC250 21/18 A3002 RMK AO2 SLP164 T02060183 403170189 $
BOS,8/24/2020 5:54,KBOS 240554Z 19005KT 10SM OVC200 21/19 A3001 RMK AO2 SLP162 60004 T02060189 10228 20200 50002 $
BOS,8/24/2020 6:54,KBOS 240654Z 18003KT 10SM BKN220 OVC250 20/19 A3002 RMK AO2 SLP164 T02000189 $
BOS,8/24/2020 7:54,KBOS 240754Z 19006KT 10SM BKN220 OVC250 19/18 A3000 RMK AO2 SLP159 T01940183 $
BOS,8/24/2020 8:54,KBOS 240854Z 21006KT 10SM SCT220 BKN250 19/18 A3001 RMK AO2 SLP161 T01940183 55000 $
BOS,8/24/2020 9:54,KBOS 240954Z 21004KT 10SM FEW150 SCT200 BKN250 20/19 A3001 RMK AO2 SLP163 T02000189 $
BOS,8/24/2020 10:54,KBOS 241054Z 20004KT 10SM SCT140 SCT250 20/19 A3002 RMK AO2 SLP164 T02000194 $
BOS,8/24/2020 11:54,KBOS 241154Z 22007KT 10SM BKN170 BKN250 22/19 A3001 RMK AO2 SLP160 70133 T02170194 10217 20194 58001
BOS,8/24/2020 12:54,KBOS 241254Z 24006KT 10SM FEW040 BKN180 BKN250 23/20 A3000 RMK AO2 SLP158 T02330200
BOS,8/24/2020 13:54,KBOS 241354Z VRB03KT 10SM FEW040 SCT180 26/21 A3000 RMK AO2 SLP157 T02560211
BOS,8/24/2020 14:54,KBOS 241454Z 19005KT 10SM FEW040 FEW180 27/22 A2999 RMK AO2 SLP156 T02670217 56004
BOS,8/24/2020 15:54,KBOS 241554Z 20007KT 10SM FEW040 FEW180 28/21 A2998 RMK AO2 SLP152 T02780211
BOS,8/24/2020 16:54,KBOS 241654Z 14007KT 10SM FEW040 SCT180 28/21 A2997 RMK AO2 LTG DSNT W AND NW SLP149 T02780206
BOS,8/24/2020 17:54,KBOS 241754Z 13010KT 10SM FEW040 BKN180 29/22 A2995 RMK AO2 SLP140 T02890217 10289 20217 58016
BOS,8/24/2020 19:54,KBOS 241954Z 19014KT 10SM SCT045 BKN180 BKN250 29/20 A2990 RMK AO2 SLP125 T02890200
BOS,8/24/2020 20:54,KBOS 242054Z 18010KT 10SM FEW045 BKN140 BKN250 29/18 A2990 RMK AO2 SLP126 T02890183 55014
BOS,8/24/2020 21:54,KBOS 242154Z 20010KT 10SM FEW045 SCT140 BKN250 29/18 A2989 RMK AO2 SLP121 T02890178
BOS,8/24/2020 22:54,KBOS 242254Z 19009KT 10SM FEW045 SCT160 BKN250 27/20 A2989 RMK AO2 SLP121 T02720200
BOS,8/24/2020 23:54,KBOS 242354Z 19008KT 10SM FEW055 SCT180 SCT250 26/21 A2988 RMK AO2 SLP119 T02610206 10306 20261 56007
BOS,8/25/2020 0:54,KBOS 250054Z 21009KT 10SM FEW180 FEW250 26/21 A2989 RMK AO2 SLP122 T02610211
BOS,8/25/2020 1:54,KBOS 250154Z 19005KT 10SM FEW180 FEW250 24/22 A2989 RMK AO2 SLP122 T02390217
BOS,8/25/2020 2:54,KBOS 250254Z 17003KT 10SM FEW180 FEW250 23/22 A2989 RMK AO2 SLP121 T02330217 50002
BOS,8/25/2020 3:54,KBOS 250354Z 17005KT 10SM FEW220 23/22 A2987 RMK AO2 SLP115 T02280217
BOS,8/25/2020 4:54,KBOS 250454Z 23007KT 10SM FEW220 24/22 A2986 RMK AO2 SLP111 T02390217 403060194
